original_fungi_name,species_name,MycoBankID,enzymes_list,classification,accepted_name,status
Aspergillus terreus,Aspergillus terreus,,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus terreus,Aspergillus terreus,Valid
Astrocystis bambusae,Astrocystis bambusae,,,,Astrocystis bambusae,Valid
BANG001,,,,,,Not available
Bacillus subtilis (CotA laccase),Bacillus subtilis,,,,Bacillus subtilis,Valid
Bacterial consortium (isolated),Bacterial consortium,,,,Bacterial consortium,Valid
Bjerkandera adusta,Bjerkandera adusta,100902,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Phanerochaetaceae > Bjerkandera > Bjerkandera adusta,Bjerkandera adusta,Valid
Bjerkandera adusta R59,Bjerkandera adusta,100902,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Phanerochaetaceae > Bjerkandera > Bjerkandera adusta,Bjerkandera adusta,Valid
Bjerkandera adusta SWUSI4,Bjerkandera adusta,100902,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Phanerochaetaceae > Bjerkandera > Bjerkandera adusta,Bjerkandera adusta,Valid
Bjerkandera sp.,Bjerkandera sp,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Phanerochaetaceae > Bjerkandera > Bjerkandera sp,Bjerkandera sp,Valid
Bjerkandera sp. BOS55,Bjerkandera sp,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Phanerochaetaceae > Bjerkandera > Bjerkandera sp,Bjerkandera sp,Valid
Bjerkandera sp. strain B33/3,Bjerkandera sp,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Phanerochaetaceae > Bjerkandera > Bjerkandera sp,Bjerkandera sp,Valid
Bjerkandera spp.,Bjerkandera spp,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Phanerochaetaceae > Bjerkandera > Bjerkandera spp,Bjerkandera spp,Valid
Burkholderia cepacia (B3),Burkholderia cepacia,,,,Burkholderia cepacia,Valid
C. subvermispora,Ceriporiopsis subvermispora,,,,Ceriporiopsis subvermispora,Valid
Candida zeylanoides,Candida zeylanoides,,,,Candida zeylanoides,Valid
Ceriporiopsis subvermispora,Ceriporiopsis subvermispora,,Manganese peroxidase,,Ceriporiopsis subvermispora,Valid
Chryseomonas luteola (A1),Chryseomonas luteola,,,,Chryseomonas luteola,Valid
Chryseomonas luteola (A3),Chryseomonas luteola,,,,Chryseomonas luteola,Valid
Citeromyces siamensis,Citeromyces siamensis,,,,Citeromyces siamensis,Valid
Clitopilus scyphoides,Clitopilus scyphoides,,,,Clitopilus scyphoides,Valid
Coprinellus disseminatus,Coprinellus disseminatus,,,,Coprinellus disseminatus,Valid
Coriolopsis gallica,Coriolopsis gallica,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Polyporaceae > Coriolopsis > Coriolopsis gallica,Coriolopsis gallica,Valid
Coriolopsis rigida,Coriolopsis rigida,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Polyporaceae > Coriolopsis > Coriolopsis rigida,Coriolopsis rigida,Valid
Coriolopsis sp. strain arf5,Coriolopsis sp,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Polyporaceae > Coriolopsis > Coriolopsis sp,Coriolopsis sp,Valid
Coriolus antarcticus,Coriolus antarcticus,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Polyporaceae > Coriolus > Coriolus antarcticus,Coriolus antarcticus,Valid
Coriolus versicolor,Coriolus versicolor,281625,"Laccase, Manganese peroxidase",,Trametes versicolor,Synonym
Coriolus versicolor (MTCC138),Coriolus versicolor,281625,,,Trametes versicolor,Synonym
Coriolus versicolor f. antarcticus,Coriolus versicolor,281625,,,Trametes versicolor,Synonym
Current studies,Current studies,,,,Current studies,Valid
Daldenia concentrica,Daldenia concentrica,,,,Daldenia concentrica,Valid
Desulfobacterium,,,,,,Not available
Dry Biomass (T. virens),,,,,,Not available
Dry Biomass (T. viride),,,,,,Not available
DyP-PE (Peroxidase from Pleurotus eryngii),Peroxidase from,,,,Peroxidase from,Valid
Fomes fomentarius,Fomes fomentarius,,,,Fomes fomentarius,Valid
Fomes sclerodermeus,Fomes sclerodermeus,,Laccase,,Fomes sclerodermeus,Valid
Fomitopsis feei,Fomitopsis feei,,"Laccase, Lignin peroxidase, Peroxidase (unspecified)",,Fomitopsis feei,Valid
Free Pleurotus eryngii,Pleurotus eryngii,170772,,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Pleurotaceae > Pleurotus > Pleurotus eryngii,Pleurotus eryngii,Valid
Funalia trogii,Funalia trogii,,,,Funalia trogii,Valid
Fusarium equiseti,Fusarium equiseti,,,Fungi > Ascomycota > Sordariomycetes > Hypocreales > Nectriaceae > Fusarium > Fusarium equiseti,Fusarium equiseti,Valid
Fusarium oxysporum,Fusarium oxysporum,,,Fungi > Ascomycota > Sordariomycetes > Hypocreales > Nectriaceae > Fusarium > Fusarium oxysporum,Fusarium oxysporum,Valid
Ganoderma rasinaceum,Ganoderma rasinaceum,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Ganodermataceae > Ganoderma > Ganoderma rasinaceum,Ganoderma rasinaceum,Valid
Geotrichum candidum,Geotrichum candidum,,,,Geotrichum candidum,Valid
Geotrichum candidum Dec 1,Geotrichum candidum,,,,Geotrichum candidum,Valid
Grammothele subargentea,Grammothele subargentea,,Laccase,,Porogramme subargentea,Synonym
Immobilized Pleurotus eryngii,Pleurotus eryngii,170772,,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Pleurotaceae > Pleurotus > Pleurotus eryngii,Pleurotus eryngii,Valid
Improved dikaryon,Improved dikaryon,,,,Improved dikaryon,Valid
Irpex lacteus,Irpex lacteus,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Meruliaceae > Irpex > Irpex lacteus,Irpex lacteus,Valid
Irpex lacteus KUC8958,Irpex lacteus,,,Fungi > Basidiomycota > Agaricomycetes > Polyporales > Meruliaceae > Irpex > Irpex lacteus,Irpex lacteus,Valid
Issatchenkia occidentalis,Issatchenkia occidentalis,,,,Issatchenkia occidentalis,Valid
Issatchenkia orientalis,Issatchenkia orientalis,,,,Issatchenkia orientalis,Valid
KONA001,,,,,,Not available
KRUS - G,,,,,,Not available
KV10,,,Laccase,,,Not available
KV12,,,Laccase,,,Not available
Kabatiella bupleuri G3,Kabatiella bupleuri,,,Fungi > Ascomycota > Dothideomycetes > Dothideales > Dothioraceae > Kabatiella > Kabatiella bupleuri,Kabatiella bupleuri,Valid
Kluyveromyces marxianus,Kluyveromyces marxianus,,,,Kluyveromyces marxianus,Valid
L. eximia,Lenzites eximia,,,,Lenzites eximia,Valid
L4,,,,,,Not available
Lentinula boryana,Lentinula boryana,,,,Lentinula boryana,Valid
